collection_no,n_occs,early_interval,late_interval,max_ma,min_ma,stg,late_bin,taxon,guild,mid
13597,3,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Ascocerida,demersal,431.775
13603,8,Gorstian,Gorstian,427.4,425.6,26,26,Ascocerida,demersal,425.875
13620,2,Ludfordian,Ludfordian,425.6,423,27,27,Ascocerida,demersal,423.87
13622,4,Ludfordian,Ludfordian,425.6,423,27,27,Ascocerida,demersal,423.87
24336,1,Hirnantian,Hirnantian,445.2,443.8,20,20,Ascocerida,demersal,444.14
24338,1,Gamachian,Gamachian,446,443.8,20,20,Ascocerida,demersal,444.14
87313,1,Porkuni,Porkuni,445.2,443.8,20,20,Ascocerida,demersal,444.14
491,2,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
493,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
542,2,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
3342,1,Rhuddanian,Rhuddanian,443.8,440.8,21,21,Discosorida,demersal,441.78
3343,1,Rhuddanian,Rhuddanian,443.8,440.8,21,21,Discosorida,demersal,441.78
5767,1,Early Givetian,Early Givetian,387.7,385.9,33,33,Discosorida,demersal,382.1
6706,2,Ludfordian,Ludfordian,425.6,423,27,27,Discosorida,demersal,423.87
13597,1,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Discosorida,demersal,431.775
13603,2,Gorstian,Gorstian,427.4,425.6,26,26,Discosorida,demersal,425.875
13874,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
14040,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
14080,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
24416,1,Aeronian,Aeronian,440.8,438.5,22,22,Discosorida,demersal,439.54
24418,1,Aeronian,Aeronian,440.8,438.5,22,22,Discosorida,demersal,439.54
24420,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
24423,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
24424,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
24435,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
25015,2,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
26166,1,Sheinwoodian,Sheinwoodian,433.4,430.5,24,24,Discosorida,demersal,431.775
26168,1,Gorstian,Gorstian,427.4,425.6,26,26,Discosorida,demersal,425.875
26178,1,Gorstian,Gorstian,427.4,425.6,26,26,Discosorida,demersal,425.875
26763,2,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
40704,1,Early Emsian,Early Emsian,407.6,398.3,31,31,Discosorida,demersal,402.405
76216,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
76217,1,Pridoli,Pridoli,423,419.2,28,28,Discosorida,demersal,420.865
79882,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
81892,1,Aeronian,Aeronian,440.8,438.5,22,22,Discosorida,demersal,439.54
82569,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
85024,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
87313,1,Porkuni,Porkuni,445.2,443.8,20,20,Discosorida,demersal,444.14
89151,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
91631,1,Pragian,Pragian,410.8,407.6,30,30,Discosorida,demersal,411.455
158608,1,Aeronian,Aeronian,440.8,438.5,22,22,Discosorida,demersal,439.54
158732,1,Telychian,Telychian,438.5,433.4,23,23,Discosorida,demersal,435.76
